,TopicWord:1,TopicWeight:1
0,MRS,0.0048278025
1,火山,0.0044122385
2,水合物,0.0042006294
3,扩散,0.0039273337
4,月壳,0.0038338397
5,探测,0.003219871
6,OH,0.0030653968
7,偏共振,0.0028840986
8,结构,0.002864647
