,TopicWord:1,TopicWeight:1
0,LSCs,0.002279846
1,CD47,0.0022011907
2,VSMC,0.0021246548
3,CML,0.0020408835
4,肝癌,0.0018357064
5,TEM,0.0018247456
6,G9a,0.0018113636
7,FGFR,0.0018019094
8,融合基因,0.0017480293
