人才培养
专题讲座
能力提高
数学基地
仪器设备
云会议制度
管理模式
生物考古学
吉林大学
科研训练
十三五
培养模式
特殊学科点
基础人才培养 
本科生科研训练
固体物理
化学基地
后疫情时代特征
培训
讨论班
培训班
条件建设
实验设备
培养体系
师资培训
骨干教师
现代考古学
地区联络网
特殊学科点 
人才培养基地
国家基础科学人才培养基金
